content,chapter
対人援助における倫理的問題とは，臨床家が両価性を解決しようとするとき，特定の方向に向かうようにしてよいかどうかである,10
倫理上の懸念は，臨床家や所属する施設かクライエントがまだ共有していない変化への願望を持っている状況で特に生じやすい,10
このような状況での4つの鍵となる倫理的考察事項は，無害の原則，善行の原則自律尊重の原則，正義の原則である,10
臨床家がある特定の結果に対して個人的あるいは組織的な投資をしているときに，選択に影響を与えるようにMIを用いることは不適切である,10
これが強制力と組み合わざっているときには特に不適切である,10
これは特にMIの引き出すプロセスに関係している,10
MIの4つのプロセスの一つひとつが，クライエントのニーズに合わせて適用されるべきである,10
例えば，すでに変化すると決めているクライエントでは，引き出すことは不要かもしれないし，有害にさえなリうる,10
MIの中では，情報と助言はクライエントの許可を得てから提供される,11
引き出しー与えー引き出すという枠組みは，クライエントの知識と自律性を尊重する情報交換の手順である,11
助言に関しては最初に関わリをし，少しずつ提供し，クライエントの選択を強調し，複数の選択肢をメニューとして提供する,11
自己開示には臨床家自身の真実を共有しようという意思が含まれて¥Iる,11
クライエントを害することなく，メリットが生じると期待できる十分な理由があるときに行う,11
どのように必要なアセスメントであっても，関わリを強められるような文脈で行われるべきである,11
また，臨床家と施設・組織にとって有用なだけでなく，クライエントにとっても有益なプロセスになるようにすべきである,11
両価性とは相反する動機が同時に存在することで，変化に向かう過程ではよくある正常な状態である,12
日常会話では両価性はチェンジトークと維持トークが混在した形で表出される,12
準備チェンジトーク（例：願望，能力，理由，ニーズ）は実行チェンジトーク（例：コミットメント，活性化，段階を踏む）よリ前に現れる傾向がある,12
引き出すプロセスの役割は変化に向けて両価性の解消を援助することである,12
クライエントのチェンジトークと維持トークのバランスは将来の変化を予測する,13
そして臨床家からの影響をかなリ受ける,13
一番単純な引き出す方法は，チェンジトークを聞き出すような開かれた質問をすることである,13
クライエント自身から変化の動機づけを引き出すために他にも多様な戦略が使える,13
MIではルーティーンとして維持トークを引き出したリ，探ったリすることはない,13
ただし，戦略上の理由からそうすることはある,13
クライエントがチェンジトークを出してきたとき，面接者が次に出すべき反応はチェンジトークを認識し強化することである,14
詳しく述べてもらう，是認する，聞き返す，サマライズするなどが必要になる,14
サマライズに含まれたものは強化される,14
それが挫折感や両価性，防衛性，あるいは変化への動機づけであっても同じである,14
MIに準じたサマライズは通常，クライエント自身のチェンジトークを集めた「花束」のようになる,14
維持トークは正常な両価性の一部であリ，「抵抗」と誤って解釈されるべきではない,15
不協和の現象はあなたの作業同盟における不調和を合図している,15
維持トークと不協和の両方が面接者の対応次第で大幅に増えもすれば減リもする,15
不協和はさまざまな理由でMIの4つのプロセスのどこからでも生じる,15
変化が可能という自信がある程度なければ，クライエントは変化にコミットすることをためらう,16
高い重要性と低い自信度のクライエントに対して必要な援助は．低い重要性と高い自信度のクライエントに対するものとは種類が違う,16
MIのスクイルは希望と自信を強化するために使える,16
中立性あるいは「平衡」とは臨床家の特性ではなく，両価性が解消される方向について影響を与えることを避けるという意識的な決断である,17
変化の言語的力動を理解することは，中立性を持ってカウンセリングを行う方法を知る点で有用である,17
意思決定バランスはある特定の方向への変化を促すためではなく，中立的なカウンセリングを選択したときに使うのが適切である,17
変化は，重要なゴールや価値と現状の間に大きな矛盾があることにクライエントが気づいたときに生じる傾向がある,18
動機づけに役立つためには矛盾は変化を促すのに十分な大きさが必要であるが．意欲をそぐほど大きくてもいけない,18
多種多様なMIの戦略がありクライエント自身の価値観の範囲内で矛盾をもたらすために使える,18
変化への道が膠麓状態になる最もよくある理由は両価性である,1
両価的な人の中には変化への賛成論も反対論も最初から住み着いている,1
臨床家が変化すべきと論じ，クライエントはそれに反論しているのであれば，臨床家のやっていることは狙いと逆行している,1
MIは人の「ために」，人と「共に」行われる,2
Mlはトリックを使って人を変化させる方法ではないその人自身の持つ変化への動機とリソースを活性化させる方法である,2
思いやりとは相手の福祉を積極的に増進しようとすることであり，相手のニーズを満たすことを優先することである,2
治療的な関わりができてから初めて次の治療に入ることができる,3
計画することは，チェンジトークのエンジンからの動力を車輪に伝えるためにクラッチヘつなぐようなものである,3
関わりとは，信頼し合い尊重し合える「援助関係を確立するブロセス」である,4
本人自身が変わる必要があるとき，専門家が果たすべき役割はそれほどない,4
治療の本質は専門性を小売りすることではない,5
障害物とはクライエント中心的ではなく自己中心的なものだ,5
聞き返しの真髄は，クライエントの言葉の意味を推測することである,5
クライエントが再来しないならば，しっかり揃った具体的な評価情報は無用の長物である,6
一貰性を持って生きるということは，自分の中核的な価値に一致するように振る舞い，それを満たすことである,7
MIのアプローチは人の自律性を大切にし，人が自然に身につけた知恵とポジティブな方向に成長したいという願望を信頼する,7
MIにおけるフォーカスとは方向を探し決めた方向を保ち続けることである,8
クライエントの気が乗らないのに行き先を決めてしまっても，何の役にも立たない,9
どのようにするのかを決めるのはクライエントであり，その選択権を奪うことは究極的には不可能である,10
MIはクライエントの価値観やゴール.利益に反することをやらせるような説得ではない,10
どの程度の情報・助言がクライエントに必要なのかを臨床家は多めに見積もりがちである,11
変化しなければならない.変化できる.変化したい.変化する十分な理由があると言うことは変化しますという意味ではない,12
チェンジトークを引き出す開かれた質問をしよう,13
ヂェンジトークが聞こえたら，それについてもっと問いかけてみようそれに関心と好奇心を持つてみよう,14
チェンジトークが維持トークと一緒に1つの文や1つのパラグラフの中に混在しているのは普通のことである,14
維持トークのテーマはターゲットになる行動あるいは変化である不協和のテーマは臨床家，あるいはもっと正確には臨床家とクライエントの関係性である,15
現状維持にクライエントが執驚する理由として考えられるすべてを引き出し，探ることはMIでは不要であり，不適切といってもよい,15
不協和のサインが聞こえるよう耳を澄まし，その大切さを認識しよう,15
急いで変わらなければならないが手は届かないと信じさせてしまうなら，クライエントを助けたことにはならない,16
Mlが常に前提としている作業仮説に従えば，使えそうな知恵や洞察，創造性はクライエントの内側に潜んでおり，引き出されるのを待っている,16
平衡とはクライエントを1つの方向に向かわせるために専門家としての立場やスキルを使うことはしないという意識的かつ意図的な決断である,17
中立性を保ったカウンセリングをするときの基本的なプロセスは選びうる選択肢の賛否両論を徹底的かつバランスのとれた方法で探ることである,17
変化が可能になるのは人がありのままの自分を受容する経験をしたときである,18
本人の選択を強調することは真実の強調だから，皮肉や嫌味は入らない,18
受容の態度の中に，何かを変えるとしても，何を変えるかは究極のところクライエント本人の選択だと認めることが含まれている,18
引き出すプロセスから計画するプロセスに移行するタイミングは，クライエント側の準備ができたというサインに基づくその場の臨床的な判断によって決まる,19
再提示と鍵となる質問は計画するプロセスのタイミングが来たかどうかを見定める手続きのひとつである。,19
クライエントの準備ができる前に変化の計画に進むことは望ましくない。,19
通常の変化の計画作りは，大まかな意図から具体的な実行計画に進んでいくことを含む。,20
計画立案のシナリオは3つある。（1)変化の計画はもともと明確である，（2)経路マッピングの中で選択肢の候補はいくつかある。（3)前に進む経路が不明瞭であり，変化の計画をゼロから作る必要がある。,20
計画するプロセスはMIの中核をなすスピリットとスキルを保ちつつ，その前に使った関わるプロセス，フォーカスのプロセス，引き出すプロセスの上に立っている。,20
計画を立てることは最終ステップではなく，最初の一歩になる。,21
実行意図は具体的な計画に加えて，それを実行する意図あるいはコミットメントを含む。,21
MIのプロセスが変化の計画へのコミットメントを強化することにも役立つ。,21
人前でコミットメントを表すことと社会的支援，セルフモニタリングも実行意図を強化する。,21
MIのスタイルは変化の最初から最後まで有用である。継続をサポートすることにも使える。,22
MIを統合して使う場合，必要に応じて計画と引き出す，フォーカス，関わる，のそれぞれのプロセスを柔軟にやリ直す。,22
MIは他のさまざまな治療法やアプローチと馴染みやすい。一緒に使うことで治療継続とアドヒアランスが向上するだろう。,22
MIを構成するものは．（1）クライエント内にある価値判断の枠組みに対する関わリながらの理解，（2)変化のフォーカスがクリア，(3)クライエント自身の変化の動機を引き出すことを組み合わせたものである。適切であれば，協働的な計画するプロセスも含められる。,23
カウンセリングの時間が短くても．MIらしさを崩さずに実践することが可能であリ，クライエントの変化を促進できることがわかっている。,23
MIの4つのプロセスは重なリ合っておりその場の状況に合わせてあるプロセスから別のプロセスヘ柔軟に移ることが可能である。,23
MIのうまさはごちゃごちゃしない精神によって実現される。,23
MIは単一の技法ではなく，面接スキルを統合したものである。,24
フィードバックとコーチングはMIを学ぶうえで重要であリ，実践の観察に基づいている必要がある。,24
MIにおけるスキルの向上は1回だけでは終わらない継続的なプロセスである。,24
